categoryName|level|german|english
Family|A1|die Mutter|mother
Family|A1|der Vater|father
Family|A1|der Bruder|brother
Family|A1|die Schwester|sister
Family|A1|die Eltern|parents
Family|A1|das Kind|child
Family|A1|der Sohn|son
Family|A1|die Tochter|daughter
Family|A1|die Familie|family
Family|A1|die Oma|grandma
Family|A2|der Opa|grandpa
Family|A2|der Onkel|uncle
Family|A2|die Tante|aunt
Family|A2|der Cousin|male cousin
Family|A2|die Cousine|female cousin
Family|B1|die Beziehung|relationship
Family|B1|sich streiten|to argue
Family|B1|sich verstehen|to get along
Family|B1|verheiratet|married
Family|B1|ledig|single
Food & Drinks|A1|das Brot|bread
Food & Drinks|A1|das Wasser|water
Food & Drinks|A1|der Kaffee|coffee
Food & Drinks|A1|der Tee|tea
Food & Drinks|A1|der Apfel|apple
Food & Drinks|A1|die Banane|banana
Food & Drinks|A1|der Kaese|cheese
Food & Drinks|A1|die Suppe|soup
Food & Drinks|A1|das Fruehstueck|breakfast
Food & Drinks|A1|das Getraenk|drink
Food & Drinks|A2|das Mittagessen|lunch
Food & Drinks|A2|das Abendessen|dinner
Food & Drinks|A2|das Gemuese|vegetables
Food & Drinks|A2|das Obst|fruit
Food & Drinks|A2|das Rezept|recipe
Food & Drinks|B1|probieren|to try
Food & Drinks|B1|kochen|to cook
Food & Drinks|B1|schmecken|to taste
Food & Drinks|B1|die Mahlzeit|meal
Food & Drinks|B1|nahrhaft|nutritious
Travel|A1|der Bahnhof|train station
Travel|A1|der Zug|train
Travel|A1|das Ticket|ticket
Travel|A1|der Bus|bus
Travel|A1|das Hotel|hotel
Travel|A1|der Koffer|suitcase
Travel|A1|der Flughafen|airport
Travel|A1|die Reise|trip
Travel|A1|die Strasse|street
Travel|A1|die Karte|map
Travel|A2|abfahren|to depart
Travel|A2|ankommen|to arrive
Travel|A2|die Unterkunft|accommodation
Travel|A2|die Reservierung|reservation
Travel|A2|umsteigen|to change trains
Travel|B1|die Verspaetung|delay
Travel|B1|die Grenze|border
Travel|B1|der Reisepass|passport
Travel|B1|besichtigen|to visit
Travel|B1|unterwegs|on the way
School|A1|die Schule|school
School|A1|der Lehrer|teacher
School|A1|die Lehrerin|female teacher
School|A1|das Buch|book
School|A1|der Stift|pen
School|A1|der Schueler|student
