name|description|iconName
Family|Core words for relatives, relationships, and family life.|family_restroom
Food & Drinks|Everyday vocabulary for meals, ingredients, and eating out.|restaurant
Travel|Useful words for transport, trips, and moving around.|train
School|Common study and classroom vocabulary for learners.|school
Work|Practical office and career vocabulary up to B1.|work
Shopping|Words for buying, paying, sizes, and customer service.|shopping_bag
Health|Everyday body, illness, treatment, and wellbeing words.|health_and_safety
Numbers|Core numbers, quantities, and amount expressions.|pin
Colors|Common colors, shapes, and appearance words.|palette
Time & Date|Essential schedule, time, and calendar vocabulary.|calendar_today
Home|Vocabulary for rooms, housing, and household life.|home
City & Places|Useful words for public places, towns, and directions.|location_city
Nature & Weather|Nature, climate, and outdoor vocabulary.|wb_sunny
Hobbies & Free Time|Leisure, hobbies, and personal interests vocabulary.|sports_soccer
Technology & Communication|Digital life, devices, and communication vocabulary.|devices
