categoryName|level|german|english
Clothing & Fashion|A1|das Hemd|shirt
Clothing & Fashion|A1|die Hose|trousers
Clothing & Fashion|A1|der Rock|skirt
Clothing & Fashion|A1|das Kleid|dress
Clothing & Fashion|A1|die Jacke|jacket
Clothing & Fashion|A1|der Mantel|coat
Clothing & Fashion|A1|der Schuh|shoe
Clothing & Fashion|A1|die Socke|sock
Clothing & Fashion|A1|der Pullover|sweater
Clothing & Fashion|A1|das T-Shirt|t-shirt
Clothing & Fashion|A1|die Jeans|jeans
Clothing & Fashion|A1|der Hut|hat
Clothing & Fashion|A1|der Schal|scarf
Clothing & Fashion|A1|der Handschuh|glove
Clothing & Fashion|A1|der Stiefel|boot
Clothing & Fashion|A1|die Bluse|blouse
Clothing & Fashion|A1|die Muetze|beanie
Clothing & Fashion|A1|der Guertel|belt
Clothing & Fashion|A1|der Knopf|button
Clothing & Fashion|A1|die Brille|glasses
Clothing & Fashion|A2|die Kleidung|clothing
Clothing & Fashion|A2|anziehen|to put on
Clothing & Fashion|A2|ausziehen|to take off
Clothing & Fashion|A2|passen|to fit
Clothing & Fashion|A2|die Umkleidekabine|changing room
Clothing & Fashion|A2|die Wolle|wool
Clothing & Fashion|A2|die Baumwolle|cotton
Clothing & Fashion|A2|elegant|elegant
Clothing & Fashion|A2|modisch|fashionable
Clothing & Fashion|A2|eng|tight
Clothing & Fashion|A2|locker|loose
Clothing & Fashion|A2|gestreift|striped
Clothing & Fashion|A2|gepunktet|polka-dotted
Clothing & Fashion|A2|der Stoff|fabric
Clothing & Fashion|A2|die Uniform|uniform
Clothing & Fashion|B1|die Mode|fashion
Clothing & Fashion|B1|der Schmuck|jewelry
Clothing & Fashion|B1|die Halskette|necklace
Clothing & Fashion|B1|das Armband|bracelet
Clothing & Fashion|B1|der Ring|ring
Clothing & Fashion|B1|die Lederjacke|leather jacket
Clothing & Fashion|B1|wasserdicht|waterproof
Clothing & Fashion|B1|buegeln|to iron
Clothing & Fashion|B1|die Naht|seam
Clothing & Fashion|B1|der Reissverschluss|zipper
Clothing & Fashion|B1|massgeschneidert|tailor-made
Clothing & Fashion|B1|alltaeglich|everyday
Clothing & Fashion|B1|festlich|festive
Clothing & Fashion|B1|kombinieren|to combine
Clothing & Fashion|B1|die Garderobe|wardrobe
Body & Senses|A1|das Auge|eye
Body & Senses|A1|das Ohr|ear
Body & Senses|A1|die Nase|nose
Body & Senses|A1|der Mund|mouth
Body & Senses|A1|der Zahn|tooth
Body & Senses|A1|das Gesicht|face
Body & Senses|A1|das Haar|hair
Body & Senses|A1|der Arm|arm
Body & Senses|A1|das Bein|leg
Body & Senses|A1|das Knie|knee
Body & Senses|A1|die Schulter|shoulder
Body & Senses|A1|der Finger|finger
Body & Senses|A1|der Daumen|thumb
Body & Senses|A1|der Hals|neck
Body & Senses|A1|das Herz|heart
Body & Senses|A1|die Haut|skin
Body & Senses|A1|riechen|to smell
Body & Senses|A1|sehen|to see
Body & Senses|A1|hoeren|to hear
Body & Senses|A1|fuehlen|to feel
Body & Senses|A2|der Geschmack|taste
Body & Senses|A2|der Geruch|smell
Body & Senses|A2|die Stimme|voice
Body & Senses|A2|der Muskel|muscle
Body & Senses|A2|die Lippe|lip
Body & Senses|A2|die Zunge|tongue
Body & Senses|A2|die Stirn|forehead
Body & Senses|A2|das Kinn|chin
Body & Senses|A2|der Ellbogen|elbow
Body & Senses|A2|der Knoechel|ankle
Body & Senses|A2|die Brust|chest
Body & Senses|A2|atmen|to breathe
Body & Senses|A2|blinzeln|to blink
Body & Senses|A2|kauen|to chew
Body & Senses|A2|schlucken|to swallow
Body & Senses|B1|der Kreislauf|circulation
Body & Senses|B1|der Puls|pulse
Body & Senses|B1|die Wahrnehmung|perception
Body & Senses|B1|empfindlich|sensitive
Body & Senses|B1|taub|numb
Body & Senses|B1|heiser|hoarse
Body & Senses|B1|zittern|to tremble
Body & Senses|B1|die Haltung|posture
Body & Senses|B1|die Beweglichkeit|mobility
Body & Senses|B1|der Gleichgewichtssinn|sense of balance
Body & Senses|B1|die Beruehrung|touch
Body & Senses|B1|die Erschoepfung|exhaustion
Body & Senses|B1|entspannt|relaxed
Body & Senses|B1|angespannt|tense
Body & Senses|B1|wahrnehmen|to perceive
Feelings & Personality|A1|froh|happy
Feelings & Personality|A1|traurig|sad
Feelings & Personality|A1|wuetend|angry
Feelings & Personality|A1|nervoes|nervous
Feelings & Personality|A1|ruhig|calm
Feelings & Personality|A1|freundlich|friendly
Feelings & Personality|A1|laut|loud
Feelings & Personality|A1|leise|quiet
Feelings & Personality|A1|schuechtern|shy
Feelings & Personality|A1|stolz|proud
Feelings & Personality|A1|mutig|brave
Feelings & Personality|A1|ehrlich|honest
Feelings & Personality|A1|lustig|funny
Feelings & Personality|A1|nett|nice
Feelings & Personality|A1|geduldig|patient
Feelings & Personality|A1|lachen|to laugh
Feelings & Personality|A1|weinen|to cry
Feelings & Personality|A1|lieben|to love
Feelings & Personality|A1|hassen|to hate
Feelings & Personality|A1|hoffen|to hope
Feelings & Personality|A2|begeistert|enthusiastic
Feelings & Personality|A2|gelangweilt|bored
Feelings & Personality|A2|einsam|lonely
Feelings & Personality|A2|gespannt|excited
Feelings & Personality|A2|zufrieden|satisfied
Feelings & Personality|A2|unzufrieden|dissatisfied
Feelings & Personality|A2|eifersuechtig|jealous
Feelings & Personality|A2|peinlich|embarrassing
Feelings & Personality|A2|frech|cheeky
Feelings & Personality|A2|hilfsbereit|helpful
Feelings & Personality|A2|neugierig|curious
Feelings & Personality|A2|zuverlaessig|reliable
Feelings & Personality|A2|verlegen|embarrassed
Feelings & Personality|A2|beleidigt|offended
Feelings & Personality|A2|sich sorgen|to worry
Feelings & Personality|B1|die Stimmung|mood
Feelings & Personality|B1|die Enttaeuschung|disappointment
Feelings & Personality|B1|die Begeisterung|enthusiasm
Feelings & Personality|B1|sensibel|sensitive
Feelings & Personality|B1|selbstbewusst|self-confident
Feelings & Personality|B1|ruecksichtsvoll|considerate
Feelings & Personality|B1|ehrgeizig|ambitious
Feelings & Personality|B1|gelassen|composed
Feelings & Personality|B1|unsicher|insecure
Feelings & Personality|B1|ueberrascht|surprised
Feelings & Personality|B1|widerspruechlich|contradictory
Feelings & Personality|B1|der Charakter|character
Feelings & Personality|B1|die Einstellung|attitude
Feelings & Personality|B1|sich aendern|to change
Feelings & Personality|B1|motiviert|motivated
Friends & Relationships|A1|der Freund|friend
Friends & Relationships|A1|die Freundin|female friend
Friends & Relationships|A1|bekannt|known
Friends & Relationships|A1|besuchen|to visit
Friends & Relationships|A1|reden|to talk
Friends & Relationships|A1|helfen|to help
Friends & Relationships|A1|zusammen|together
Friends & Relationships|A1|allein|alone
Friends & Relationships|A1|umarmen|to hug
Friends & Relationships|A1|lachen mit|to laugh with
Friends & Relationships|A1|die Einladung|invitation
Friends & Relationships|A1|das Paar|couple
Friends & Relationships|A1|die Liebe|love
Friends & Relationships|A1|der Streit|argument
Friends & Relationships|A1|die Hochzeit|wedding
Friends & Relationships|A1|der Gast|guest
Friends & Relationships|A1|der Nachname|surname
Friends & Relationships|A1|der Vorname|first name
Friends & Relationships|A1|der Kontakt|contact
Friends & Relationships|A1|die Party|party
Friends & Relationships|A2|sich treffen|to meet up
Friends & Relationships|A2|sich verlieben|to fall in love
Friends & Relationships|A2|sich trennen|to separate
Friends & Relationships|A2|vertrauen|to trust
Friends & Relationships|A2|die Nachbarschaft|neighborhood
Friends & Relationships|A2|der Mitbewohner|male roommate
Friends & Relationships|A2|die Mitbewohnerin|female roommate
Friends & Relationships|A2|der Bekannte|male acquaintance
Friends & Relationships|A2|die Bekannte|female acquaintance
Friends & Relationships|A2|die Gemeinschaft|community
Friends & Relationships|A2|das Date|date
Friends & Relationships|A2|die Freundschaft|friendship
Friends & Relationships|A2|die Unterhaltung|conversation
Friends & Relationships|A2|die Ehe|marriage
Friends & Relationships|A2|die Verlobung|engagement
Friends & Relationships|B1|die Bekanntschaft|acquaintance
Friends & Relationships|B1|missverstehen|to misunderstand
Friends & Relationships|B1|sich versoehnen|to reconcile
Friends & Relationships|B1|unterstuetzen|to support
Friends & Relationships|B1|der Eindruck|impression
Friends & Relationships|B1|die Partnerschaft|partnership
Friends & Relationships|B1|die Zuneigung|affection
Friends & Relationships|B1|die Verpflichtung|commitment
Friends & Relationships|B1|der Respekt|respect
Friends & Relationships|B1|die Rueckmeldung|feedback
Friends & Relationships|B1|sich entschuldigen|to apologize
Friends & Relationships|B1|die Grenze setzen|to set a boundary
Friends & Relationships|B1|zuhoeren|to listen carefully
Friends & Relationships|B1|die Bindung|bond
Friends & Relationships|B1|gemeinsam|together
Household & Cleaning|A1|der Besen|broom
Household & Cleaning|A1|der Eimer|bucket
Household & Cleaning|A1|der Lappen|cloth
Household & Cleaning|A1|die Seife|soap
Household & Cleaning|A1|der Spiegel|mirror
Household & Cleaning|A1|die Lampe|lamp
Household & Cleaning|A1|das Regal|shelf
Household & Cleaning|A1|die Decke|blanket
Household & Cleaning|A1|das Kissen|pillow
Household & Cleaning|A1|die Matratze|mattress
