name|description|iconName
Clothing & Fashion|Clothes, accessories, and everyday style vocabulary.|checkroom
Body & Senses|Body parts, senses, and basic physical experiences.|visibility
Feelings & Personality|Emotions, moods, and personality vocabulary.|mood
Friends & Relationships|Social life, friendship, and relationship vocabulary.|groups
Household & Cleaning|Household items, chores, and cleaning routines.|cleaning_services
Cooking & Kitchen|Kitchen tools, cooking actions, and ingredients.|kitchen
Transportation|Vehicles, movement, and commuting vocabulary.|directions_bus
Directions & Orientation|Asking for and giving directions in everyday situations.|explore
Restaurant & Cafe|Ordering food, table service, and eating out vocabulary.|local_cafe
Sports & Fitness|Exercise, sports, and active lifestyle vocabulary.|fitness_center
Music & Arts|Creative activities, music, and visual arts vocabulary.|brush
Books & Media|Reading, news, and everyday media vocabulary.|library_books
Office & Business|Workplace tasks, documents, and business communication.|business_center
Banking & Finance|Money management, banking, and budgeting vocabulary.|account_balance_wallet
Government & Society|Public life, institutions, and social vocabulary.|account_balance
Law & Safety|Rules, emergencies, and personal safety vocabulary.|gavel
Environment & Recycling|Sustainability, resources, and recycling vocabulary.|recycling
Farming & Garden|Plants, gardening, and basic farming vocabulary.|grass
Animals & Pets|Animal names, care, and pet vocabulary.|pets
Celebrations & Culture|Festivals, traditions, and shared cultural life.|celebration
